name,exaggeration,cfg_weight,temperature,load_mem_allot,load_mem_reserved,eval_mem_allot,eval_mem_reserved,gen_duration,audio_length,file_size,sentences,words,avg_words
thesis_abstract,0.7,0.5,0.8,6764631040,6813646848,6764631040,7816085504,5.753968238830566,29.48,2830160,3,57,6.7
matariki_light_pollution,0.6,0.6,0.5,6769910272,6855589888,6769910272,7728005120,5.245877742767334,26.76,2569040,3,67,5.19
thesis_abstract,0.7,0.3,0.2,6765293056,6815744000,6765293056,8573157376,8.036080121994019,40.0,3840080,3,57,6.7
matariki_light_pollution,0.7,0.3,0.5,6766941696,6838812672,6766941696,7797211136,5.631405830383301,28.6,2745680,3,67,5.19
thesis_abstract,0.4,0.5,1.0,6767952384,6866075648,6767952384,7906263040,5.90778923034668,30.2,2899280,3,57,6.7
matariki_light_pollution,0.5,0.6,0.8,6771351040,6840909824,6771351040,7776239616,5.521260976791382,28.12,2699600,3,67,5.19
thesis_abstract,0.7,0.6,0.8,6762216960,6790578176,6762216960,7849639936,5.9904375076293945,30.6,2937680,3,57,6.7
thesis_abstract,0.5,0.6,0.8,6769368576,6840909824,6769368576,8034189312,6.358417987823486,31.72,3045200,3,57,6.7
matariki_light_pollution,0.4,0.6,0.8,6766297600,6855589888,6766297600,7828668416,5.681977987289429,28.84,2768720,3,67,5.19
thesis_abstract,0.4,0.3,0.8,6772087296,6843006976,6772087296,7912554496,6.005587339401245,30.76,2953040,3,57,6.7
thesis_abstract,0.8,0.6,0.2,6757477888,6784286720,6757477888,7772045312,5.691456079483032,29.12,2795600,3,57,6.7
matariki_light_pollution,0.4,0.5,0.8,6769384448,6851395584,6769384448,7820279808,5.683839559555054,28.76,2761040,3,67,5.19
thesis_abstract,0.8,0.5,0.2,6765227520,6794772480,6765227520,8552185856,8.0159330368042,40.0,3840080,3,57,6.7
thesis_abstract,0.5,0.6,0.5,6769368576,6849298432,6769368576,8128561152,6.287324905395508,31.44,3018320,3,57,6.7
thesis_abstract,0.7,0.3,0.5,6762883584,6815744000,6762883584,8084520960,6.4642181396484375,32.24,3095120,3,57,6.7
matariki_light_pollution,0.5,0.6,1.0,6772225536,6843006976,6772225536,7667187712,5.040921211242676,25.76,2473040,3,67,5.19
thesis_abstract,0.5,0.3,0.2,6765436416,6843006976,6765436416,8126464000,6.576289892196655,32.68,3137360,3,57,6.7
thesis_abstract,0.6,0.6,0.2,6762714624,6830424064,6762714624,8357150720,7.330888271331787,36.56,3509840,3,57,6.7
matariki_light_pollution,0.7,0.6,0.8,6771017728,6847201280,6771017728,7704936448,5.186812877655029,26.48,2542160,3,67,5.19
thesis_abstract,0.6,0.6,0.5,6760125952,6813646848,6760125952,7782531072,5.670633554458618,28.8,2764880,3,57,6.7
thesis_abstract,0.5,0.6,0.2,6766290432,6840909824,6766290432,8598323200,8.032427787780762,40.0,3840080,3,57,6.7
thesis_abstract,0.6,0.3,0.5,6767834624,6849298432,6767834624,8122269696,6.519552946090698,32.48,3118160,3,57,6.7
matariki_light_pollution,0.4,0.5,0.5,6766458368,6849298432,6766458368,7822376960,5.692282676696777,28.92,2776400,3,67,5.19
thesis_abstract,0.6,0.5,0.2,6764305408,6840909824,6764305408,8598323200,8.052869081497192,40.0,3840080,3,57,6.7
matariki_light_pollution,0.5,0.3,0.8,6769892864,6838812672,6769892864,7860125696,5.854224443435669,29.72,2853200,3,67,5.19
matariki_light_pollution,0.8,0.3,1.0,6767017472,6843006976,6767017472,7744782336,5.3819193840026855,27.36,2626640,3,67,5.19
thesis_abstract,0.4,0.5,0.8,6773680640,6840909824,6773680640,8053063680,6.410072088241577,32.08,3079760,3,57,6.7
matariki_light_pollution,0.4,0.3,1.0,6767553024,6859784192,6767553024,7881097216,5.866495132446289,29.8,2860880,3,67,5.19
matariki_light_pollution,0.5,0.3,0.5,6767975424,6851395584,6767975424,7906263040,5.9544997215271,30.4,2918480,3,67,5.19
matariki_light_pollution,0.8,0.3,0.5,6769187840,6849298432,6769187840,7769948160,5.428946256637573,27.76,2665040,3,67,5.19
thesis_abstract,0.8,0.3,0.8,6758330880,6777995264,6758330880,7851737088,6.051472187042236,30.92,2968400,3,57,6.7
thesis_abstract,0.7,0.3,1.0,6767730176,6815744000,6767730176,7818182656,5.7792065143585205,29.36,2818640,3,57,6.7
thesis_abstract,0.8,0.5,0.5,6763048448,6786383872,6763048448,7688159232,5.308193683624268,27.28,2618960,3,57,6.7
thesis_abstract,0.4,0.6,0.5,6764229632,6849298432,6764229632,8225030144,6.824134826660156,34.08,3271760,3,57,6.7
thesis_abstract,0.7,0.3,0.8,6764444672,6813646848,6764444672,7990149120,6.407005071640015,32.12,3083600,3,57,6.7
thesis_abstract,0.4,0.5,0.5,6772837888,6866075648,6772837888,8285847552,6.945825815200806,34.8,3340880,3,57,6.7
thesis_abstract,0.8,0.6,1.0,3207385088,3238002688,4566416384,5960105984,6.34752368927002,30.44,2922320,3,57,6.7
thesis_abstract,0.5,0.6,1.0,6768087552,6830424064,6768087552,7855931392,5.883533716201782,29.96,2876240,3,57,6.7
thesis_abstract,0.5,0.3,0.5,6770646016,6847201280,6770646016,7916748800,6.032862663269043,30.76,2953040,3,57,6.7
thesis_abstract,0.8,0.3,1.0,6760275456,6790578176,6760275456,8111783936,6.736951112747192,33.36,3202640,3,57,6.7
matariki_light_pollution,0.8,0.6,0.2,6770013696,6840909824,6770013696,7665090560,5.030705690383911,25.8,2476880,3,67,5.19
thesis_abstract,0.4,0.6,0.2,6766747136,6843006976,6766747136,8600420352,8.126996517181396,40.0,3840080,3,57,6.7
thesis_abstract,0.4,0.6,0.8,6767188992,6847201280,6767188992,7906263040,5.9935832023620605,30.52,2930000,3,57,6.7
matariki_light_pollution,0.4,0.5,0.2,6768057344,6859784192,6768057344,7799308288,5.509819746017456,28.24,2711120,3,67,5.19
matariki_light_pollution,0.8,0.3,0.2,6772108800,6843006976,6772108800,7879000064,5.894402265548706,30.0,2880080,3,67,5.19
matariki_light_pollution,0.8,0.5,1.0,6770933248,6836715520,6770933248,7690256384,5.129616022109985,26.24,2519120,3,67,5.19
thesis_abstract,0.6,0.5,1.0,6763706880,6824132608,6763706880,7744782336,5.419485092163086,27.76,2665040,3,57,6.7
thesis_abstract,0.7,0.6,0.2,6766064128,6796869632,6766064128,8554283008,8.026946067810059,40.0,3840080,3,57,6.7
matariki_light_pollution,0.7,0.3,0.2,6767271424,6853492736,6767271424,7774142464,5.45897650718689,27.68,2657360,3,67,5.19
